City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Comodoro Rivadavia,AR,-45.8667,-67.5,73.4,43,75,18.41,broken clouds
137,Berbera,SO,10.4396,45.0143,80.38,80,26,0.72,scattered clouds
138,Marsaxlokk,MT,35.8419,14.5431,59.0,88,75,18.41,broken clouds
139,Anloga,GH,5.7947,0.8973,84.2,84,40,11.5,scattered clouds
140,Severo-Kurilsk,RU,50.6789,156.125,31.42,66,100,7.4,overcast clouds
141,Kishi,NG,9.0833,3.85,88.18,38,40,6.64,scattered clouds
142,Pa Sang,TH,18.5262,98.9394,79.0,94,20,3.44,few clouds
143,Port-Gentil,GA,-0.7193,8.7815,77.0,94,20,3.44,few clouds
144,Rivadavia,AR,-33.1905,-68.4608,73.4,31,0,12.66,clear sky
145,Jimma,ET,7.6667,36.8333,63.28,86,91,4.05,light rain
146,Aklavik,CA,68.2191,-135.0107,-2.2,50,1,6.91,clear sky
147,Gisors,FR,49.2818,1.7801,39.2,70,0,8.05,clear sky
148,Kahului,US,20.8947,-156.47,77.0,65,40,5.75,scattered clouds
149,Freeport,US,40.6576,-73.5832,55.99,94,90,12.66,heavy intensity rain
150,Jamestown,US,42.097,-79.2353,64.0,55,90,5.75,overcast clouds
151,Arraial Do Cabo,BR,-22.9661,-42.0278,82.4,69,0,11.5,clear sky
152,Hofn,IS,64.2539,-15.2082,37.94,95,100,10.96,overcast clouds
153,Arlit,NE,18.7369,7.3853,89.83,6,0,10.69,clear sky
154,Port Keats,AU,-14.25,129.55,78.62,79,58,2.08,broken clouds
155,Trinidad,BO,-14.8333,-64.9,89.6,62,40,6.91,scattered clouds
156,Redlands,US,34.0556,-117.1825,75.99,33,75,3.44,haze
157,Pevek,RU,69.7008,170.3133,-20.4,100,100,4.16,overcast clouds
158,Inuvik,CA,68.3499,-133.7218,5.0,39,5,6.91,clear sky
159,Hualmay,PE,-11.0964,-77.6139,73.06,75,91,9.73,overcast clouds
160,Saint-Philippe,RE,-21.3585,55.7679,78.8,73,0,5.75,light rain
161,Evensk,RU,61.95,159.2333,-3.35,78,16,10.74,few clouds
162,Ahipara,NZ,-35.1667,173.1667,65.17,84,32,2.21,scattered clouds
163,Santiago Del Estero,AR,-27.7951,-64.2615,75.4,26,8,12.08,clear sky
164,Upernavik,GL,72.7868,-56.1549,31.46,81,100,13.82,light snow
