City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
81,Dhidhdhoo,MV,83.28,clear sky,6.8833,73.1,Dhidhoo beach
85,Carnarvon,AU,78.8,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
86,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
87,Butaritari,KI,80.78,light rain,3.0707,172.7902,Isles Sunset Lodge
90,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
91,Taoudenni,ML,90.72,clear sky,22.6783,-3.9836,
92,Hithadhoo,MV,82.94,overcast clouds,-0.6,73.0833,Scoop Guest House
101,Jati,PK,80.04,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
102,Sao Joao Da Barra,BR,82.4,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
103,Luba,GQ,82.4,scattered clouds,3.4568,8.5547,
104,Geraldton,AU,75.2,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
106,Lucea,JM,86.0,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
108,Avarua,CK,78.8,light rain,-21.2078,-159.775,Paradise Inn
113,Oranjestad,AW,84.2,scattered clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
119,Bataipora,BR,95.43,clear sky,-22.2953,-53.2711,Hotel Vale do Ivinhema
124,Morgan City,US,82.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
130,Bongor,TD,93.11,scattered clouds,10.2806,15.3722,Complexe Le Confort Annexe de Bongor
134,Assai,BR,87.8,few clouds,-23.3733,-50.8414,Árvore Menor
135,Nhulunbuy,AU,75.2,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
137,Berbera,SO,80.38,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
139,Anloga,GH,84.2,scattered clouds,5.7947,0.8973,Pin Drop Hotel
141,Kishi,NG,88.18,scattered clouds,9.0833,3.85,NCCF Kishi
142,Pa Sang,TH,79.0,few clouds,18.5262,98.9394,โรงแรม จามจุรี 99
143,Port-Gentil,GA,77.0,few clouds,-0.7193,8.7815,Fengshui Residence
148,Kahului,US,77.0,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
151,Arraial Do Cabo,BR,82.4,clear sky,-22.9661,-42.0278,Pousada Porto Praia
153,Arlit,NE,89.83,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
154,Port Keats,AU,78.62,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
155,Trinidad,BO,89.6,scattered clouds,-14.8333,-64.9,Hotel Piesta
156,Redlands,US,75.99,haze,34.0556,-117.1825,Dynasty Suites Redlands
160,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
163,Santiago Del Estero,AR,75.4,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
165,Carrollton,US,86.0,clear sky,32.9537,-96.8903,Days Inn by Wyndham North Dallas/Farmers Branch
170,Port Blair,IN,81.79,light rain,11.6667,92.75,Welcomhotel Bay Island Port Blair
172,Pangai,TO,78.8,light rain,-19.8,-174.35,Ha'apai Beach Resort
173,Kavaratti,IN,83.25,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
181,Bengkulu,ID,75.24,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
184,Raghunathpur,IN,82.0,few clouds,23.55,86.6667,Joy Chandi Hill Resort
186,Avera,US,77.0,scattered clouds,33.194,-82.5271,
187,Cidreira,BR,83.93,broken clouds,-30.1811,-50.2056,Hotel Castelo
188,San Patricio,US,82.99,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
189,Nizwa,OM,78.75,clear sky,22.9333,57.5333,Orient Apartments
191,Cap Malheureux,MU,79.0,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
192,Alabaster,US,75.0,clear sky,33.2443,-86.8164,Candlewood Suites Alabaster
193,Sirsa,IN,80.94,few clouds,29.5333,75.0167,OYO 48542 Hotel Capital
200,Praya,CV,75.2,clear sky,14.9215,-23.5087,LT Aparthotel
202,Port Hedland,AU,78.8,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
207,Hilo,US,80.6,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
208,Maine-Soroa,NE,87.3,broken clouds,13.2114,12.0241,Complexe
209,Katsina,NG,88.18,clear sky,12.9894,7.6006,Katsina Motel
212,Caravelas,BR,78.58,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
231,Castro,BR,75.74,few clouds,-24.7911,-50.0119,CHACARA BAILLY
233,Dillon,US,80.01,scattered clouds,34.4166,-79.3712,Dillon Express Inn
235,Sao Filipe,CV,76.55,clear sky,14.8961,-24.4956,Tortuga B&B
239,Malindi,KE,81.27,broken clouds,-3.2175,40.1191,African House Resort
240,Lethem,GY,75.16,overcast clouds,3.3803,-59.7968,Savannah Inn
241,Candido De Abreu,BR,80.73,broken clouds,-24.5669,-51.3333,Hotel Recanto
242,The Valley,AI,80.6,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
243,Abakaliki,NG,83.39,overcast clouds,6.3163,8.1169,K Suites
